Rating,Review Date,Employee,Description
5.0,"Jul 17, 2018","Current  Employee  in Redmond, Washington State",[' It covers doctors country-wide. Great benefit']
5.0,"Jul 13, 2018","Former  Employee  in San Francisco, California",[' 401k vacation medical yealy bonus']
5.0,"Jul 11, 2018","Current  Employee  in Bellevue, Washington State",[' Good work life balance Good training course']
5.0,"Jul 07, 2018","Former  Employee  in Redmond, Washington State",[' Great employee stock purchase plan and 401k match.']
5.0,"Jul 10, 2018","Current  Employee  in Redmond, Washington State","[' Very generous benefits especially for families. Gym membership is awesome. No free lunch, but it is subsidized to an extent. Free drinks though. Health insurance is awesome.']"
5.0,"Jun 27, 2018","Current  Employee  in Chicago, Illinois",[' Great benefit options and your spouse can take advantage as well']
5.0,"Jul 02, 2018","Former  Employee  in Redmond, Washington State",[' its was really really great']
4.0,"Jul 11, 2018","Former  Senior Account Executive  in Irvine, California",[' Worst is that the medical coverage has gone downhill dramatically.']
4.0,"Jul 07, 2018","Current  Software Engineer  in Redmond, Washington State",[' Great insurance. 50% 401k match up to 18k contribution.']
3.0,"Jul 02, 2018","Former  Employee  in Seattle, Washington State","[' low salary, somewhat better benefits than amazon']"
5.0,"Jun 25, 2018","Current  Program Manager  in Bellevue, Washington State","[' Best : Health Insurance, Bonding Leave']"
5.0,"Jun 21, 2018","Former  Principal Program Manager  in Mountain View, California",[' Extremely good overall package. Up there with top tier.']
5.0,"Jun 20, 2018","Former  Tech Support  in Richmond, Virginia",[' Great health benefits and dental and paid time off.']
5.0,"Jun 10, 2018","Current  Employee  in Seattle, Washington State",[' Great overall benefit package for everyone.']
4.0,"Jun 26, 2018","Current  Employee  in Redmond, Washington State","[' Comprehensive medical & dental, flex benefits. Small amount of vacation time for new employees that are joining late in their careers.']"
4.0,"Jun 25, 2018","Former  Administrative Assistant  in Redmond, Washington State","[' Microsoft has great medical, dental, 401K, vacation, maternity, adoption etc. benefits and they always looked for ways to improve the benefits. IThey really care for their employees.']"
4.0,"Jun 22, 2018","Current  Employee  in Redmond, Washington State","[' Solid benefits, somewhat below industry standard.']"
5.0,"Jun 05, 2018","Current  Employee  in Redmond, Washington State",[' It feels like a family. Everyone is here to lift the others up so success can be spread around the company and isn’t focused on one individual or team.']
4.0,"Jun 13, 2018","Current  Employee  in Bellevue, Washington State",[' Good health insurance and 401K match.']
4.0,"Jun 04, 2018","Current  Employee  in Redmond, Washington State","[' medical, fitness, vision, fsa, dental are good. medical used to be much better, but hsa is just fine. gym member ship can be better']"
5.0,"Jun 02, 2018","Former  Principal Engineering Manager  in Redmond, Washington State",[' Benefits at Microsoft is great.']
3.0,"Jun 03, 2018","Current  Principal Applied Scientist  in Redmond, Washington State","[' Several miscellaneous benefits in addition to the main ones (health care/401k matching). For example, ""Stay Fit"" gym or exercise equipment reimbursement, on-campus health care facility, tuition reimbursement. Spouse health care covered at no additional cost. Overall pretty good, not as good as Google/FB. Vacation time is too stingy compared to Google/FB. Worst thing: health plan has been downgraded in the past year or so. We used to have a good health plan that would cover everything; now he have to choose between the Kaiser HMO (you know, worthless, shithole ""you don\'t deserve to live so we won\'t pay your bills; no, you don\'t need the medication your doctor prescribed"" HMOs -- always have been and will be utter trash) and a health plan thing that pays nothing until you hit $4000 per year, and then starts paying for stuff. No nice plan that actually pays for 90%+ of all expenses from the get-go like other big tech companies have. Dental is bad, but it\'s bad everywhere. Vision is not as good as other big tech companies. Current CFO, Amy Hood, is actively trying to reduce health care coverage to save $$, because she likes $$ and hates human beings, apparently.']"
5.0,"May 28, 2018","Former  Solution Sales Professional  in Austin, Texas",[' Paternal leave was increased to 8 weeks with flexibility to take within a year.']
5.0,"May 23, 2018","Former  Senior Program Manager  in Bellevue, Washington State",[' Great healthcare - nice 401K matching']
4.0,"May 31, 2018","Former  Employee  in Tulsa, Oklahoma","[' Medical, Dental, Vision, 401k. All of it was really good and a part of me hates that I left that all behind.']"
4.0,"Jun 02, 2018","Former  Employee  in Seattle, Washington State",[' They treat all their employers with good benefits']
4.0,"Jun 01, 2018","Current  Employee  in Redmond, Washington State",[' Lots of vacation time (5 weeks after 7 years). Health plan is good and has a large network. 401(k) matching at 50% up to 6%/3%.']
3.0,"May 29, 2018","Current  SDEII  in Bellevue, Washington State",[' Microsoft has great benefits on 401K.']
4.0,"May 24, 2018","Current  Employee  in Seattle, Washington State",[' Health insurance and paid leave is good. It was even better before 2012.']
4.0,"May 22, 2018","Former  Service Engineer  in Redmond, Washington State","[' Very competitive benefits and a fair work life balance provided you work for the right organization. Overall compensation is fair, however is well below what can be achieved in a consulting capacity.']"
5.0,"May 21, 2018","Former  Employee  in Redmond, Washington State","[' Good 401K match, great health insurance benefits.']"
5.0,"May 17, 2018","Current  Senior Software Engineer  in Redmond, Washington State","[' The company genuinely desires to be the best in terms of benefits. They made substantial changes over the past couple years to be on par with other big companies: added more holidays, extended parental leave time, expanded health/fitness opportunities.']"
5.0,"May 16, 2018","Current  Program Manager  in Redmond, Washington State",[' The package is quite simply amazing and very competitive.']
5.0,"May 10, 2018","Current  Product Advisor  in Denver, Colorado",[' great benefits even for part time employees']
5.0,"May 09, 2018","Former  Employee  in Redmond, Washington State",[' Great 401k and other benefits.']
4.0,"May 21, 2018","Former  Senior Support Escalation Engineer  in Irving, Texas","[' Although insurance has changed, the premiums continue to be employer paid.']"
4.0,"May 15, 2018","Former  Employee  in Redmond, Washington State","[' 401 match is good in microsoft, as well as the health benefit package is good too. overall benefits are good']"
4.0,"May 15, 2018","Current  Employee  in Redmond, Washington State",[' Comprehensive coverage with good match on 401k']
3.0,"May 08, 2018","Former  Regional Project Manager  in Redmond, Washington State","[' The benefits package is comprehensive. It covers medical, dental, vision etc with liberal limits. However the salary package is downright unacceptable. There is a base salary and then there are benefits i.e. stock options that are tied to the package. The annual reviews which are not 360 degrees are not even 270 degrees. They are just 180 degrees. So its ultimately the nature of the relationship and performance and perception that reckons your annual review number. Now this number has no direct co-relation with your salary because the entire organization performance is subject to curve fitting.The number of stock options that would be then awarded for that review period would also be derived as a result of this curve fitting. The nature of the curve or its rationale is not (obviously) disclosed so at the end of the review drama the increments on the salary always left one disappointed. The stock options were ok, just ok. It never seemed that the value of the core benefits ( life sustaining earnings channels ) really justified the 24x7 efforts that were put in.']"
3.0,"May 13, 2018","Current  Employee  in Seattle, Washington State","[' Awesome vacation policy, health benefits and better work life balance. But the benefits are not up to the market']"
5.0,"May 04, 2018","Current  Employee  in Redmond, Washington State","["" Microsoft has THE BEST benefits package. It's so comprehensive that I think it often goes underappreciated. From top of the line healthcare with NO premiums, to an amazing 401k match of over $9k/year, to caregiver leave, and stayfit program, and free drinks, and a custom commuting bus, Microsoft really goes above and beyond.""]"
5.0,"May 01, 2018","Current  Employee  in Washington, District of Columbia",[' 20 weeks maternity leave with 12 weeks paid for mothers!']
5.0,"May 07, 2018","Current  Employee  in Lehi, Utah",[' Microsoft has amazing benefits that are bar none top competitive within the industry!']
5.0,"May 06, 2018","Current  Employee  in Boston, Massachusetts",[' Great holistic approach to health and benefits. Long term benefits for staying over 5 years with stock vesting. Reasonable about flexibility and family-first approach. Diversity is celebrated.']
5.0,"May 04, 2018","Current  Business Development Manager  in Atlanta, Georgia",[' Love the health benefits. Having Microsoft badge comes in handy all around the city. However the most valuable part of being here is that they value wellness.']
5.0,"May 02, 2018","Current  Employee  in Denver, Colorado",[' Stellar! Everything that you could want in a benefits package. Difficult to find this level of benefits in many other employers.']
5.0,"Apr 29, 2018","Current  Employee  in Redmond, Washington State",[' Best: stay fit program.']
5.0,"Apr 28, 2018","Current  Employee  in Redmond, Washington State",[' Best thing is the Stay Fit benefit.']
4.0,"May 04, 2018","Current  Employee  in Redmond, Washington State",[' Best thing is the matching of charitable contributions']
4.0,"May 06, 2018","Current  Employee  in Redmond, Washington State","["" the best is the vacation days and the worst is the sickoof days per year. What's more the salary is not that high""]"
5.0,"Apr 28, 2018","Current  Program Manager  in Redmond, Washington State",[' Good gym/stay-fit benefit. No free food like other companies.']
5.0,"Apr 25, 2018","Former  Consumer Product Advisor  in San Francisco, California","[' Travel expense, 401k, health insurance, life insurance for you and family, microsoft stock at reduced price! Feels like corporate benefits!']"
5.0,"Apr 27, 2018","Former  Employee  in Redmond, Utah","[' “One of the best healthy care insurances from the industry , great for indivuala and families alone . The best yea”']"
5.0,"Apr 25, 2018","Current  Employee  in Redmond, Washington State",[' Excellent health benefits bery competative']
5.0,"Apr 18, 2018","Current  Engineering Manager  in Bellevue, Washington State","[' Great benefits overall: 401k plan, health insurance, good package of vacation/sick days, stay fit budget, etc.']"
5.0,"Apr 24, 2018","Current  Employee  in Redmond, Washington State","[' Great insurance, parental leave, decent vacation for newer employees, and other perks. Surprisingly few of the trendy tech company offerings, but hey.']"
5.0,"Apr 20, 2018","Former  Director  in Bellevue, Washington State",[' Up to $9k of 401k matching']
5.0,"Apr 22, 2018","Current  Employee  in Redmond, Washington State",[' Microsoft has one of the best packages around.']
5.0,"Apr 20, 2018","Former  Employee  in Redmond, Washington State","[' Microsoft really takes care of its people. Amazing benefits, especially health insurance and gym, with lots of nice to haves like group legal.']"
1.0,"Apr 12, 2018","Former  Senior Electrical Engineer  in Redmond, Washington State",[' Easy commute Good working environment Good engineering group Good cafeteria Contract employee no benefits!']
5.0,"Mar 29, 2018","Current  Inside Sales Representative  in Fargo, North Dakota","[' Incredible benefits. Tons of PTO + sick time. Health insurance is mostly covered, for a family of 3 I pay about $10 per paycheck for great health/vision/dental. We also have a corporate funded HSA, which covered my LASIK. Maternity AND paternity leave, including adoption and adoption assistance. I can’t say enough about the amazing the benefits.']"
5.0,"Apr 11, 2018","Former  Employee  in Dallas, Texas",[' Comprehensive benefits package including proactive wellness benefits.']
5.0,"Apr 08, 2018","Current  Employee  in Redmond, Washington State",[' Best: Healthcare Plan and HSA Benefit']
4.0,"Apr 02, 2018","Current  Employee  in Redmond, Washington State",[' Health used to be fully free. Now for family for 4 you end up spending 6k from your own pocket before your 100% coverage kicks in']
5.0,"Mar 29, 2018","Current  Web  in Washington, District of Columbia",[' pretty good package. health plan and working environment']
4.0,"Apr 09, 2018","Current  Employee  in Santa Clara, California","["" excellent and competitive benefits. on par with it's other competitors in the surrounding area. would recommend to a friend""]"
5.0,"Mar 28, 2018","Current  Employee  in Redmond, Washington State",[' One of the best benefits in the industry. Health insurance is really good.']
5.0,"Mar 27, 2018","Former  Employee  in Redmond, Washington State",[' Health insurance is good. Work life balance is good.']
4.0,"Apr 03, 2018","Current  Employee  in Redmond, Washington State","[' Microsoft provides great Health insurance coverage, 50% 401 contribution match, which I believe is kind of great and I like it.']"
