Rating,Review Date,Employee,Description
5.0,"Jul 23, 2018","Former  Employee  in Los Angeles, California",[' Amazing benefits - definitely take care of employees!']
5.0,"Jul 09, 2018","Former  Software Engineer  in Sunnyvale, California","[' Good insurance and benefits, flexible hours, paid time off']"
3.0,"Jul 10, 2018","Current  Senior Software Engineer  in Sunnyvale, California","[' good food, good work life balance, good PTO, good engineer culture, only thing is low salary.']"
4.0,"Jun 22, 2018","Former  Employee  in Sunnyvale, California",[' matching 401K and consistent bonus was good.']
3.0,"Jun 19, 2018","Former  Business Analyst  in Santa Clara, California","[' Free food, nice crowd, process and management can be challenging']"
4.0,"May 30, 2018","Current  Employee  in Sunnyvale, California",[' Reduced maternity after getting acquired..']
5.0,"May 19, 2018","Former  Employee  in Sunnyvale, California","[' Great overall benefits, free food!!']"
5.0,"Apr 12, 2018","Current  Visual Editor  in New York, New York State","[' Yahoo is indeed a great place to work, Verizon will sure do good that its part of Verizon, and will keep Yahoo Customers happy by providing best customer service in the industry. Worst thing is time run away so fast that you have to go home leaving your work aside']"
5.0,"Apr 04, 2018","Current  Employee  in Santa Clara, California","[' 401K, paid vacation, retirement benefit, adoption benefits']"
3.0,"Apr 06, 2018","Former  Employee  in Sunnyvale, California","[' Good Health Insurance, Stock Options']"
5.0,"Apr 04, 2018","Former  Senior DBA  in Burbank, California","[' Benefits were awesome. Good Technical Talent, Work life balance.']"
3.0,"Mar 13, 2018","Current  Principal Engineer  in Sunnyvale, California",[' Best perk from Yahoo is free food and onsite Stanford medical clinic.']
4.0,"Feb 01, 2018","Former  Procurement  in Sunnyvale, California",[' Excellent benefits offered to full time employees. Medical/dental options were affordable and coverage was excellent. A huge plus was the 25% 401K matching.']
5.0,"Jan 29, 2018","Former  Technical Intern II  in Sunnyvale, California","[' Joining bonus of 6k. Free Food, transportation for farther places']"
3.0,"Jan 28, 2018","Former  Photo Editor  in Los Angeles, California","["" No benefits for contractors. Free food on site but that's the only perk.""]"
4.0,"Jan 08, 2018","Former  Employee  in New York, New York State",[' Great health insurance for fulltime employees']
4.0,"Dec 22, 2017","Former  Software Development Engineer  in Sunnyvale, California","[' Good 401k, free food, great gym']"
5.0,"Dec 14, 2017","Former  Employee  in Omaha, Nebraska","[' Affordable health insurance, low or no premiums, retirement match 3% and great maternity']"
4.0,"Dec 08, 2017","Former  Employee  in San Francisco, California",[' Lots of benefits given to the employees!']
5.0,"Nov 30, 2017","Former  Manager   in Sunnyvale, California","[' Exceptional medical, dental, vision. Onsite doctor at Sunnyvale']"
4.0,"Nov 14, 2017","Former  Principal Software Engineer  in Santa Clara, California",[' I was really sad when they stopped the stock purchase plan. That was a great benefit.']
5.0,"Nov 15, 2017","Former  Employee  in New York, New York State",[' Yahoo matched up to $1000 of charity donations.']
5.0,"Nov 10, 2017","Former  commercial associate  in New York, New York State","[' everything is very, very good']"
5.0,"Nov 08, 2017","Former  Program Manager  in Sunnyvale, California","[' Free food and drink, competitive salary, bonus plan, pay leaves and many others.']"
5.0,"Oct 30, 2017","Former  Employee  in New York, New York State","[' Great health insurance, paid time off, free food, maternity and paternity leave']"
4.0,"Oct 26, 2017","Former  Employee  in Boston, Massachusetts",[' Best was the 25% Match on 401-up to the federal limit. The espp program was the best but they got rid of that - so that’s the worst. 16 weeks maternity leave was also great.']
4.0,"Oct 19, 2017","Former  Employee  in San Francisco, California",[' Best Free lunches and swag The worst is having to be part of the in crowd to to get ahead']
4.0,"Oct 19, 2017","Current  Employee  in Sunnyvale, California",[' Free food and a nice campus with an equipped GYM !!']
5.0,"Oct 18, 2017","Former  Ad Operations Specialist  in Hillsboro, Oregon",[' Overall the benefits at this company were outstanding! You received breakfast and lunch each day with snacks always available. The healthcare was fantastic and the 401k plan was great. The maternity leave was absolutely amazing as well!']
5.0,"Oct 17, 2017","Former  Ad Operations  in Sunnyvale, California",[' All positive here. Oath should offer benefits similar to Verizon.']
4.0,"Oct 15, 2017","Former  Employee  in Sunnyvale, California","["" great intern's party, have fun""]"
5.0,"Oct 02, 2017","Former  Employee  in Miami, Florida",[' Great perks and benefits. Maternity and paternity leave were the best ones.']
2.0,"Oct 11, 2017","Former  Employee  in Hillsboro, Oregon",[' Free Cellphone! $100 a quarter towards gym. At the time 25% matching for 401K']
5.0,"Sep 23, 2017","Former  Technician  in Sunnyvale, California","[' Vacation is flexible, the working environment is good. Free lunch, dinner, and snakes. Very good benefit packages.']"
5.0,"Sep 21, 2017","Former  Employee  in Sunnyvale, California",[' They had standard benefits for all employees and i appreciate they offered them to interns.']
4.0,"Sep 21, 2017","Former  Manager  in Sunnyvale, California","[' Love their choices of medical benefits, plus Yahoo has an in house medical clinic staff by Stanford Hospital personnel.']"
4.0,"Sep 21, 2017","Current  Software Engineer  in Sunnyvale, California","[' great benefits: health insurance, 401K, paid time off, free food, corporate discounts, paternity leave, rewards, onsite health clinic']"
4.0,"Sep 19, 2017","Former  Employee  in New York, New York State",[' It is above average in high tech company.']
5.0,"Aug 30, 2017","Former  Employee  in Sunnyvale, California","[' Interns have university program in summer, free foods and drinks, weekly town hall meeting with CEO, shuttle service']"
1.0,"Sep 01, 2017","Former  Senior Software Engineering Manager  in Sunnyvale, California",[' No guarantee for stock awards at year end review. ESPP removed.']
5.0,"Aug 27, 2017","Current  Senior Software Engineer  in New York, New York State","[' Top notch health benefits, PTO. 401K is subpar']"
4.0,"Aug 26, 2017","Current  Employee  in San Francisco, California","[' Health insurance, 401k, and PTO is solid. Verizon employee discount is also nice.']"
4.0,"Jul 30, 2017","Current  Employee  in Sunnyvale, California","["" The yearly bonus takes in the company performance which hasn't been great over the last couple of years.""]"
4.0,"Jul 26, 2017","Former  Employee  in Sunnyvale, California","[' Amazing benefits: free food, free coffee, on-site gym, great healthcare.']"
5.0,"Jul 17, 2017","Current  Employee  in Sunnyvale, California",[' Health care benefits at Yahoo are top notch. They subside the cost of it for employees and it is extremely affordable. Also the free coffee bar and food is great too.']
4.0,"Jul 13, 2017","Former  Employee  in Omaha, Nebraska",[' very good comprehensive package for dental and health.']
3.0,"Jul 22, 2017","Former  Technical Yahoo - Software Engineer  in Sunnyvale, California",[' Not the greatest out there.']
2.0,"Jul 19, 2017","Former  Employee  in Burbank, California","[' Great benefit, and great challenge job.']"
2.0,"Jul 05, 2017","Former  Employee  in Sunnyvale, California","["" Since I was a contractor I didn't receive company benefits. But I have heard it is pretty competitive""]"
4.0,"Jun 17, 2017","Current  Employee  in Hillsboro, Oregon","[' Health coverage used to be great. Now major price increases, particularly in deductibles']"
4.0,"Jun 13, 2017","Current  Employee  in Sunnyvale, California",[' Decent 401K employer contribution and vacation/paid time off. Free lunch is awesome.']
5.0,"Jun 13, 2017","Current  Directo  in New York, New York State",[' They have a healt and vision plan']
5.0,"Jun 05, 2017","Former  Software Engineer Intern  in Sunnyvale, California",[' Everything is good about benefit package at Yahoo']
5.0,"May 30, 2017","Current  Employee  in Los Angeles, California",[' Great benefits. All benefits are clearly explained and made available to full-time employees. I highly recommend choosing your benefit carefully to suit you particular needs.']
4.0,"Jun 01, 2017","Former  Employee  in Sunnyvale, California",[' Great benefits and people. Recommend to everyone who want to work on tech company.']
5.0,"May 18, 2017","Former  Sr. Software Engineer  in Denver, Colorado","["" The stock options and preferred stock have really paid of as Yahoo's stock price has surged.""]"
5.0,"May 10, 2017","Current  Employee  in Lockport, New York State","[' The company provides many benefits one would seek in an employer. Beyond the typical medical and 401K benefits, there is flexible time off, paid sick days, a laid back dress code, and meals provided throughout the day.']"
4.0,"May 09, 2017","Former  Employee  in Sunnyvale, California","[' The best is they offer amazing health, dental, and vision packages for you and your entire family if you want.']"
5.0,"May 07, 2017","Former  Employee  in Sunnyvale, California",[' Generous perks and great benefits']
5.0,"Apr 25, 2017","Current  Intern  in Sunnyvale, California",[' housing and transportation stipend -6000$']
4.0,"Apr 24, 2017","Former  Employee  in Sunnyvale, California",[' Pros: Great Benefits. Free food. Great people. Cons: ESPP']
5.0,"Apr 16, 2017","Current  Employee  in Sunnyvale, California","["" Excellent benefits and a lot of small nifty perks/benefits such as onsite dental, laundry, haircuts, car detailing etc. It's these small things which matter a lot sometimes.You get excellent free food (all three meals) with a huge variety of snacks and oh yes - some eclectic flavours of ice creams :D""]"
5.0,"Apr 15, 2017","Current  Engineering  in Sunnyvale, California","["" It's above par on market, with generous 401K, paid leave, and sick leave. Free food (better than many high profile companies of similar or larger scale, per feedback from friends). Free healthy snacks and drinks.""]"
4.0,"Apr 16, 2017","Current  Employee  in Sunnyvale, California","[' free food, rsus, free cell service, on-site stanford health care, 401 k match']"
4.0,"Apr 15, 2017","Current  Senior Software Development Engineer  in Sunnyvale, California",[' Free Breakfast/Lunch/Dinner.. Flexible work culture. There are good teams - revenue generating where development is pretty solid. Fast deployment pipelines - New technologies etc. Salaries are very uneven across employees. People are not motivated because of low salaries and also because of the Verizon deal.']
5.0,"Mar 31, 2017","Current  Employee  in Hillsboro, Oregon","[' Free food and unpaid sabbatical, 401k and good health insurance']"
5.0,"Mar 27, 2017","Former  Employee  in Sunnyvale, California","[' Free food, good people and great work culture']"
4.0,"Mar 27, 2017","Current  User Experience Designer  in Sunnyvale, California",[' They no longer offer ESPP. Bonus RSUs vest over a 4-year period so it is preferable to opt/ask for cash bonuses instead. Total RSU value actually amounts to about 40% less after taxes.']
4.0,"Mar 27, 2017","Former  Employee  in Sunnyvale, California","[' Various things I liked there. Game room, sport activities, etc. etc. Nice environment to work in. I would definitely like to return there back.']"
4.0,"Mar 25, 2017","Current  Software Engineer  in Champaign, Illinois","[' Health, dental and vision insurance is covered with good terms and conditions. Free Food, decent pay and friendly people.']"
5.0,"Mar 22, 2017","Current  Paranoids Security Engineer  in Sunnyvale, California",[' Salary and health insurance are the best things IMO.']
4.0,"Mar 21, 2017","Current  Frontend Software Engineer   in Sunnyvale, California",[' heath insurance is good but dental insurance is up to 2K which is nothing']
5.0,"Mar 19, 2017","Current  Senior Software Engineer  in Sunnyvale, California","[' free food, goog health insurance']"
4.0,"Mar 19, 2017","Former  Marketing Director  in Burbank, California","["" Great benefits overall. Good healthcare options better priced than many today, 401k match, PTO, free food and of course stock (RSUs) can really add up. But it comes at a price....work life balance isn't great, and it's a very uncertain company as the company has been in a multi year identity struggle.""]"
4.0,"Mar 17, 2017","Current  Employee  in New York, New York State","[' In terms of health insurance, 401K I would say it is pretty standard and comparable to other companies. The huge pluses are the parental leave (16 wks fully paid for new moms), equity (employees have stocks in the company), the awesome work/life balance, a lot of flexibility with work hours and free food']"
4.0,"Mar 15, 2017","Current  Employee  in Omaha, Nebraska","["" Free breakfast, lunch, snack, fruits and drinks. Lunch is different everyday. You're never know what to eat next day.""]"
5.0,"Mar 10, 2017","Current  Employee  in Sunnyvale, California","[' 401K matching, Health Benefits (Dental, Vision), Flex spending, Parental leave']"
5.0,"Mar 02, 2017","Current  Software Engineer Intern   in Champaign, Illinois",[' This role is for Software Engineer Intern at Yahoo Champaign. Notice it is in Champaign IL but the housing stipend is $4500 for 12 weeks. And they have free lunch.']
3.0,"Mar 15, 2017","Current  , Software Dev Eng,  in San Jose, California","[' nice company to work with, not so good salary']"
1.0,"Mar 14, 2017","Former  Sourcer  in Sunnyvale, California","[' Pay was good. My managers were not supportive at all when I found out I was pregnant. One of them asked me if I knew if I was pregnant when she interviewed me. I was shocked that those words came out from her mouth. I took the job so I could telecommute and I then had to drive to Sunnyvale, which was a 2 hour commute each way for me. They created so much unnecessary stress for me that it had an effect on my pregnancy which my doctor gave me a warning to slow down.']"
5.0,"Mar 01, 2017","Current  Employee  in Portland, Oregon","[' The free breakfast and lunch, and the free unlimited text/data/call cell phones that can be used for personal use are certainly the best benefits of this company.']"
4.0,"Feb 23, 2017","Former  Employee  in Sunnyvale, California","[' Amazing health benefits, was free for many years then became a fee but small now. All medical and dental is really high quality']"
5.0,"Feb 22, 2017","Former  Director of Engineering   in Sunnyvale, California",[' Best: Yahoo benefits always provide options to purchase. The team arrange representatives from each provider onsite the campus to answer any questions employee might have. Worst: Cost continue to go up. Mainly due to increase health cost. It will be great if Yahoo can cap the cost']
4.0,"Feb 23, 2017","Current  Employee  in San Francisco, California",[' Competitive with other tech giants. Could offer more flex time options and encourage more telecommuting. The sabbatical program is kind of a joke: 6 weeks unpaid after 5 years.']
4.0,"Feb 12, 2017","Former  Employee  in Sunnyvale, California","["" Great benefits- free breakfast, lunch and dinner (if you're in office until late), decent vacation policy, insurance benefits, and not so great 401K""]"
4.0,"Feb 07, 2017","Former  Employee  in Sunnyvale, California","[' Generous with vacation, holidays, health insurance, bonuses, etc. At times it was difficult to schedule vacations due to delivery schedules and']"
5.0,"Jan 28, 2017","Former  Senior Technical  in San Francisco, California","["" Education: Stanford, Carnegie Mellon, Berkeley - any course, all tuition 100%. Of course it's hard to find the time to use it, but it was there & it was very good.""]"
4.0,"Jan 28, 2017","Former  Network Operations Center   in Burbank, California","[' Fun atmosphere, great team spirit, good compensation']"
4.0,"Jan 22, 2017","Current  Employee  in Sunnyvale, California",[' Yahoo is one the best company to work. Provides great and competitive benefits']
4.0,"Jan 17, 2017","Current  Employee  in Sunnyvale, California","[' Some of the best benefits are free food, on site wellness center, and fitness center']"
4.0,"Jan 15, 2017","Current  Technical Yahoo  in Sunnyvale, California","["" 401k match vests immediately but is 'only' 25%""]"
4.0,"Jan 13, 2017","Former  Employee  in Sunnyvale, California",[' Yahoo used to have very good medical insurance that would cover everything 100% with very small $15 copay. I am not sure that they still have it. Also 5 days by 5 times sick days benefit that is not actually in the offer but can be found in HR documents at company web portal.']
5.0,"Dec 27, 2016","Former  Employee  in New York, New York State","["" RSU's, healthy vacation time, excellent health insurance, top notch maternity/paternity leave, life insurance, vision and dental, discounts, immediately-vested 401k match.""]"
5.0,"Dec 22, 2016","Current  Employee  in New York, New York State",[' Very competitive benefits package with numerous options.']
4.0,"Dec 09, 2016","Current  Senior Tech Yahoo  in Sunnyvale, California","[' Great 401k match, Amazing parental leave and new parents assistance program.']"
4.0,"Nov 19, 2016","Former  Employee  in Sunnyvale, California",[' Matching 401k was a great benefit. So was the iPhone and iMac']
5.0,"Nov 08, 2016","Current  Employee  in Omaha, Nebraska","[' Catered lunch, paid cell phone, paid gym membership, great insurance, paid sick time, paid time off']"
5.0,"Nov 06, 2016","Former  Employee  in San Francisco, California",[' I think yahoo is great company for every employee.']
4.0,"Nov 05, 2016","Former  Editor  in Sunnyvale, California","[' 25% 401K match, 8 week sabbatical after 5 years (unpaid), extended parental leave, free food, snacks, drinks, coffee and smoothie bars']"
5.0,"Nov 04, 2016","Former  Employee  in Sunnyvale, California",[' Health insurance coverage for the who family. Flexible working hours. Moral is not so high.']
4.0,"Nov 04, 2016","Former  Employee  in Dallas, Texas","[' The perks were pretty good overall, the food in our office lacked at times.. but overall pretty good']"
4.0,"Oct 27, 2016","Former  Employee  in Sunnyvale, California","[' Good ESPP, but little RSU for anyone below director level. Insurance is as good as anywhere. Same for the on-site gym, which stacks up to any gym out there.']"
3.0,"Nov 03, 2016","Current  Employee  in Sunnyvale, California","[' 401k, Free SmartPhone, Free Food (Good-Great) - A lot of onsite services available, from car wash to haircut - you need to pay though. Very generous paternity and maternity leave.']"
5.0,"Oct 16, 2016","Former  Employee  in Sunnyvale, California","[' Yahoo! had a good benefits package - good options in health plans, a reasonable 401k match etc. Other benefits include free lunch/snacks. Overall a good package']"
5.0,"Oct 15, 2016","Former  Senior Program Manager  in Sunnyvale, California",[' Great package all around! Have yet to see it matched in subsequent employers.']
4.0,"Oct 08, 2016","Former  Senior Principal Engineer  in Sunnyvale, California","[' Free lunch, 401k 4k match']"
4.0,"Oct 07, 2016","Current  Employee  in Los Angeles, California",[' Good package with stock options. Good health insurance coverage']
4.0,"Oct 05, 2016","Former  Employee  in New York, New York State",[' I thought that offered a great 401k option']
3.0,"Oct 16, 2016","Former  Employee  in Sunnyvale, California",[' Large companies have good benefits.']
4.0,"Oct 02, 2016","Current  Soft Engineer  in Sunnyvale, California",[' Free food is the best benefit at Yahoo.']
5.0,"Sep 30, 2016","Former  Employee  in Sunnyvale, California","[' Great perks, 401K and general benefits (gym, free food, parties)']"
5.0,"Sep 19, 2016","Current  Employee  in Sunnyvale, California","[' 401k, 3 weeks PTO at start, stock options, option for sabbatical after 5 years, snacks, healthcare coverage, free food, and all that stuff....']"
5.0,"Sep 25, 2016","Former  Employee  in New York, New York State","["" Free lunch is a big perk. As an intern, you don't have access to most of the perks since you are only there for the summer.""]"
5.0,"Sep 23, 2016","Current  Employee  in Sunnyvale, California",[' Yahoo offers one of the best benefits package and takes really good care of the employees.']
4.0,"Sep 21, 2016","Current  Employee  in Omaha, Nebraska",[' Good benefits. great health insurance.']
4.0,"Sep 19, 2016","Current  Service Desk Technician  in Lockport, New York State",[' The new parent perks are amazing. I had a child while at Yahoo and the time I spent with her was great.']
4.0,"Sep 15, 2016","Current  HR  in Sunnyvale, California","[' The onsite clinic is amazing and the free food for breakfast, lunch and dinner are great.']"
4.0,"Sep 14, 2016","Former  Employee  in San Francisco, California","[' Compared to other SV companies, their benefits and out of pocket costs/copayments are better than most.']"
5.0,"Sep 07, 2016","Current  Employee  in Sunnyvale, California",[' Overall awesome benefits with 25% 401k match']
