Title,Interview Date,Employee Type,Offer,Experience,Interview Type,Application,Interview,Question
Community Coordinator," Jul 26, 2013"," Anonymous Interview Candidate in  Redmond, WA",['No Offer'],['Neutral Experience'],['Easy Interview'],"['I applied through a staffing agency. The process took 3 weeks. I interviewed at Microsoft (Redmond, WA) in May 2013.']","[""This was a job on a team that manages the online communities for several video games at Microsoft. I am more than overqualified for the position, but it's a rough economy and I need to pay bills so I was happy to interview for the contract."", ""There were probably three phone screens with the agency (Volt) who had the contract before I spoke to the hiring manager. The manager was a nice enough person but he told me frankly that he was flooded with many overqualified candidates and there was no way he could hire more than one person. The interview was very easy. We just spoke about video games, community management and the IP he managed. The main feedback I'd give is that Volt did not even prepare me (in all of those calls and e-mails) for the correct job listing! I was told this was for one particular game, so I went out and bought that game... learned it, did my homework, and prepped myself with questions and info pertaining to *that* game - only to find out the job was really to manage that game as well as half a dozen other games that I'd never been told about and had to answer questions on the spot."", 'In the end, I did not get an offer. He had a very large pool of candidates and I am guessing went with someone he could pay at the lower range of his budget.']","[' questions based on IP I had not heard of \xa0 ', 'Answer Question']"
Community Development Specialist," Oct 9, 2017"," Anonymous Employee in  Houston, TX",['Accepted Offer'],['Positive Experience'],['Difficult Interview'],"['I applied online. I interviewed at Microsoft (Houston, TX) in May 2014.']","['Went through several rounds of interviews, after initially speaking with the recruiter. The company is really big on culture and making sure to select candidates who are adaptable. They prefer someone with an open-mind and perspective rather than someone super techie.']","[' How would you impact the company in 30-60-90 days within your role if hired. \xa0 ', 'Answer Question']"
Contract," Apr 17, 2014", Anonymous Interview Candidate,['No Offer'],[],[],[],"[""Only spoke over the phone, contact was polite. Interview mostly focused on technical questions. I thought the questions were fair. There were particularly interested in my .net experience which isn't as strong, but the person on the phone was accommodating.""]","[' Coding questions \xa0 ', 'Answer Question']"
Computer Programmer," Nov 8, 2017"," Anonymous Employee in  Washington, DC",['Accepted Offer'],['Positive Experience'],['Average Interview'],"['I applied through an employee referral. The process took 6 days. I interviewed at Microsoft (Washington, DC) in January 2017.']","[""easy you cause because the go to into for there was alot and you know what the process is like and i know right yeah it doesn't make any sense why would you do that i mean like why and yeah your right""]","[' how much do you know about making websites \xa0 ', 'Answer Question']"
Computer Science," Feb 10, 2017"," Anonymous Interview Candidate in  Redmond, WA",['No Offer'],['Neutral Experience'],['Average Interview'],"['I applied online. The process took 1 day. I interviewed at Microsoft (Redmond, WA) in June 2013.']","['A set of two interviews for the first round. They asked mind puzzle questions as well as more practical questions. They did not care what language you did your practical questions in but the questions were worded specifically, leaving out important information that you needed to ask the interviewer for clarification on.']","[' Create a calculator. \xa0 ', '2 Answers']"
Paralegal," Jan 17, 2012"," Anonymous Interview Candidate in  Redmond, WA",['No Offer'],['Positive Experience'],['Average Interview'],"['The process took 2 weeks. I interviewed at Microsoft (Redmond, WA) in October 2011.']",['I went through a couple of phone interviews with various people at Microsoft and then was asked to fly up to Seattle for an in person interview.'],"[' Technical questions regarding IP and trademark. \xa0 ', 'Answer Question']"
Paralegal Assistant," Jul 2, 2013"," Anonymous Employee in  Seattle, WA",['Accepted Offer'],['Positive Experience'],['Average Interview'],"['I applied online. The process took 3 weeks. I interviewed at Microsoft (Seattle, WA) in February 2009.']",['Interview process was limited. Interviewed with the lawyers on the legal team I would be working for. Took about 3 hours total. Was asked basic questions about my interest in the position and the company.'],"[' If you could be any tree, what kind of tree would you be? \xa0 ', '1 Answer']"
Photo Editor," Nov 1, 2014", Anonymous Employee,['Accepted Offer'],['Positive Experience'],['Difficult Interview'],['I applied online. The process took 2+ weeks. I interviewed at Microsoft.'],"['I did my interview over the phone, I submitted a test, editorial test, and three interviews. It was very down to earth and pleasant. I felt valued all throughout the process.']","[' Why did you chose the photos you chose from the test when everyone else chose differently? \xa0 ', '1 Answer']"
Planner," Oct 28, 2013", Anonymous Employee,['Accepted Offer'],[],[],[],['The hiring process took over three months. There was 5 people doing the interviews. The interviews themselves are not that bad. They do like to try to get you upset and see how you handle it.'],"[' There was not really any unexpected questions. \xa0 ', 'Answer Question']"
Assistant Store Manager," Apr 15, 2013"," Anonymous Employee in  Boston, MA",['Accepted Offer'],['Neutral Experience'],['Easy Interview'],"['I applied online. The process took 5 days. I interviewed at Microsoft (Boston, MA) in May 2012.']","['1) Phone call with a recruiter', '2) In person interview with a store manager', '3) Phone call with a market manager', '4) Phone call with regional manager', '5) Offer from recruiter']","[' What most excites you about retail? \xa0 ', '1 Answer']"
Assistant Store Manager," Aug 4, 2013"," Anonymous Employee in  Arlington, VA",['Accepted Offer'],['Neutral Experience'],['Easy Interview'],"['I applied through a recruiter. The process took 2+ months. I interviewed at Microsoft (Arlington, VA) in March 2012.']","[""Sourced the position through LinkedIn. Did three phone and one in-person interviews, all of which were a breeze. I should have asked more pointed questions about the culture, since I had been warned by other people in the tech biz not to work there, but I was so exited to work for Microsoft that I didn't."", ""The background check was exhaustive and I ended up having to fax W-2's from 12 years ago to prove one of my employers. I know from several people that the company definitely called and was thorough in questioning background.""]","["" There were no difficult questions. The company is big into volunteerism and will ask where you volunteer (if you don't, then don't bother to apply). \xa0 "", 'Answer Question']"
Assistant Store Manager," Jun 4, 2015", Anonymous Interview Candidate,['No Offer'],['Negative Experience'],['Difficult Interview'],['The process took 3+ weeks. I interviewed at Microsoft in January 2015.'],['It took weeks of phone tag to get ahold of the hiring manager. Once we set up an appointment they never called. So we set up another and after an hour of waiting I never received a call.'],"[' Never got to the actual interview. \xa0 ', 'Answer Question']"
Assistant Store Manager," Jun 12, 2017"," Anonymous Employee in  Miami, FL",['Accepted Offer'],['Positive Experience'],['Average Interview'],"['I applied online. I interviewed at Microsoft (Miami, FL) in January 2017.']","['Interview was fair and concise. Recruiters called, scheduled an appointment and the same recruiter called back. Once you passed the recruiter, you got routed to the hiring manager at the store']","[' How do you drive performance? \xa0 ', 'Answer Question']"
Associate," Feb 11, 2014", Anonymous Interview Candidate,['No Offer'],['Negative Experience'],['Easy Interview'],[],['Initial interview at Business School. Numerous scenario questions for 30 minutes.'],"[' If you received 50 oranges for free, how would you make the most amount of money from the oranges. \xa0 ', '2 Answers']"
Associate Consultant," Jul 21, 2014"," Anonymous Employee in  Dallas, TX",['Accepted Offer'],['Positive Experience'],['Easy Interview'],"['I applied online. The process took 2 weeks. I interviewed at Microsoft (Dallas, TX) in October 2012.']","['I applied through the MACH (Microsoft Academy of College Hires) website for the Technical Account Manager position. They conducted interviews for this and the Associate Consultant position simultaneously. The first contact was an email to schedule a phone call. The phone interview went really well - the interviewer was friendly and it was more of a conversation than an interview. The only specific question I remember involved being in an office with a window and trying to determine the weather outside without using the internet (the answer boiled down to - go outside/stick your hand out the window). The interviewer encouraged me to read two books: How to Move Mt. Fuji, a collection of Microsoft interview questions and The Nordstrom Way, a history of the clothing company with a strong emphasis on customer service that Microsoft tries to emulate. Protip: READ THESE BOOKS. Many of my questions during the interview phase involved some version of these mental puzzles, and one of them basically mimicked a scenario from the Nordstrom book. Other than that, they were mostly hypothetical scenario questions - how would you respond to X, if person Y said ___, how would you respond, etc.']","["" Name as many Microsoft products as you can (surprisingly difficult if you haven't really studied the full stack). The most difficult technical question I got was: how to you prevent scammers from creating fake banking websites to steal user login information. \xa0 "", '1 Answer']"
Associate Consultant," Sep 23, 2014"," Anonymous Interview Candidate in  Athens, GA",['No Offer'],['Average Interview'],[],[],"[""I applied via the Microsoft College recruiting website and also attended a information session which was held at my University. The first stage of the interview process was a basic on campus interview which lasted for about 30-35 minutes and consisted of mainly behavioral questions. Currently, I'm waiting to hear back for the second round.""]",[]
Associate Consultant," Oct 9, 2014"," Anonymous Interview Candidate in  Fargo, ND",['No Offer'],['Positive Experience'],['Difficult Interview'],"['I applied through a recruiter. The process took 2+ months. I interviewed at Microsoft (Fargo, ND) in October 2014.']","['I am currently in the process of interviewing with Microsoft for a position in Customer Facing Technology. First I was contacted by a Microsoft recruiter via LinkedIn. After following up with her, I was invited to a phone interview. This was strictly behavioral, with questions that you would expect (Why Microsoft, is your personality a Android, iPhone, or Windows Phone, etc..). It was a pretty low-key conversation, and surprisingly low stress. I will be going in for the final, in person interview in a few weeks.']","[' What is your mantra for customer service \xa0 ', 'Answer Question']"
Associate Consultant," Oct 22, 2014", Anonymous Interview Candidate,['No Offer'],['Neutral Experience'],['Easy Interview'],[],"['Gave my resume at a recruitment event. They contacted me for an interview, which consisted mostly of behavioral questions and clarifications of things on my resume. It seemed like it went quite well, so I was a little surprised to not hear back. I guess since it was recruitment season they had a lot of applicants.']","[' Nothing really. Very standard interview. \xa0 ', 'Answer Question']"
Associate Consultant," Nov 24, 2014"," Anonymous Employee in  Dallas, TX",['Accepted Offer'],['Positive Experience'],['Average Interview'],"['I applied through college or university. The process took 3 days. I interviewed at Microsoft (Dallas, TX) in November 2014.']","[""Arrived the day before the interview and participate in the pre-night social event. Network as much as you can, since it's very likely that you will run into your interviewer (though they won't tell you), and it's very important that you show your ability to socialize with strangers to make a good impression."", '4 interviews back to back: presentation skills, engagement skills, traditional experience Q&A, and behavioral/situational interview.', 'No tech questions. 20 min presentation was added this time to fresh things up.', 'Interviewers were laid back and very friendly.']","[' No technical questions, but expect to be grilled on with resume entries. \xa0 ', 'Answer Question']"
Associate Consultant," Nov 26, 2014"," Anonymous Employee in  Seattle, WA",['Accepted Offer'],['Positive Experience'],['Average Interview'],"['I applied through college or university. The process took 4+ weeks. I interviewed at Microsoft (Seattle, WA).']","['Initially contacted via University Recruiting and invited to come to University campus for 30 min interview. This first interview was strictly behavioral, mostly just a screening. Was then invited to fly out for the final round of interviews. Had 4 back to back interviews and was asked to present a 20 minute presentation on something I am passionate about. Then heard back within 3 days of interviewing and accepted an offer.']","[' If you could change one thing about the embedded system within a Coke Freestyle machine, what would you do? \xa0 ', 'Answer Question']"
Associate Consultant," Nov 11, 2014", Anonymous Employee,['Accepted Offer'],['Positive Experience'],['Average Interview'],['I applied online. I interviewed at Microsoft in November 2014.'],['Great experience. I have an interview that from the same school as me. technical based. go through resume. ask you every single line of the resume. overall good experience. get to know the company'],"["" technical question that i wasn't prepared for. ask everything on your resume. specific terms of coding \xa0 "", 'Answer Question']"
